,name,item_id,category_id,discount,rating_score,original_price,price,item_sold_count,temp_category_index
93,12color Rolling crayon pen,2753302856,"[22393, 22430, 22744]",28% Off,4.994565217391305,88,63.63,935 sold,305
94,A4/A5/8K Sketch Book Blank Page Thick Paper Spiral Notebook Kraft Paper Hardcove Stationery,3483412913,"[22393, 22430, 22744]",52% Off,4.9541984732824424,99,47.56,"1,363 sold",305
95,Expandable Drawing for Blueprint Case,4039046552,"[22393, 22430, 22744]",30% Off,0,676,473,,305
96,8/12/18 color Oil pastel B&e* drafting suplies,3860566593,"[22393, 22430, 22744]",55% Off,5.0,55,25,106 sold,305
97,CT SUPERSTORE Compass with Pencil,4079402020,"[22393, 22430, 22744]",,5.0,,21,24 sold,305
98,"Drafting table with drawers and side table by Artist Loft Artist Loft Glass top adjustable drawing table, drafting table, toughened glass top art and craft table with 2 slide drawers and wheels",2394030509,"[22393, 22430, 22744]",67% Off,4.976190476190476,12999,4341,243 sold,305
99,12/24 Colors/Set Crayons Drop shape Safe Non-Toxic Washable for kids Baby Toddler Gift,3648637340,"[22393, 22430, 22744]",79% Off,5.0,699,149,414 sold,305
100,214 PC SET LITE BRITE Classic Magic Screen Colorful Glowing Pegs Templates Arts and Crafts P1399,4220300463,"[22393, 22430, 22744]",,0,,1399,,305
101,T-Square Spare Head,2327535194,"[22393, 22430, 22744]",,3.5,,165,30 sold,305
102,JW shop #character coloring/ sticker book DIY children's coloring book painting book cartoon,3582321272,"[22393, 22430, 22744]",52% Off,4.962335216572504,10,4.77,"9,999+ sold",305
103,KES R-TEC drawing book for kids school supplies COD,3498215003,"[22393, 22430, 22744]",,0,,15,13 sold,305
104,"👑CROWN BABY SHOP👑 SET PEN 54 PCS. PEN, TRAVEL ART KIT FOR KIDS, STATIONERY CRAFT ART",3365334426,"[22393, 22430, 22744]",63% Off,4.454545454545454,588,215.99,65 sold,305
105,24 Colores Markers Brush Pens Set Painting Drawing Manga Highlighter School Art Supplies Markers Pens Set Double Head Brush Drawing Highlighter Aesthetic Professional Manga School Art Supplies Stationery,4228732773,"[22393, 22430, 22744]",90% Off,0,1388,138,,305
106,{in stock} Drafting table with stool drawers and side table by Artist Loft,3244444600,"[22393, 22430, 22744]",53% Off,5.0,10000,4655,30 sold,305
107,36 Color Crayons Canister Not Dirty Hands Triangular Crayon for Toddlers Kids Non-Toxic Crayon Gifts Washable Colored Pencil Drawing Tools Art Drawing School Supply,4235342426,"[22393, 22430, 22744]",65% Off,0,199,69,11 sold,305
108,Diamond Chalk stationary school supplies colorchalk and white chalk,3560330074,"[22393, 22430, 22744]",55% Off,4.9375,65,29,162 sold,305
109,A4 Thicken 60 Sheets Sketch Pad Watercolor Pad Marker Drawing Paper Pad Art Supplies,2659905824,"[22393, 22430, 22744]",,4.977777777777778,,220,204 sold,305
110,Furniture Template 1:50 - Big Size - For drawing,3544265455,"[22393, 22430, 22744]",,5.0,,150,19 sold,305
111,Crayons Cartoon Character Stationery Painting with 2 Available size (Jumbo Size & Regular Size),1766838851,"[22393, 22430, 22744]",47% Off,4.968871595330739,45,23.75,"4,746 sold",305
112,Hentai Japanese Magazine,2444896499,"[22393, 22430, 22744]",,0,,550,,305
113,"🛍️🛍️ EUNIQUELULUSHOP  🛍️🛍️ School Supplies 46/54/ 168/208 PCS Kids Super Mega Art Coloring Set , art work , for kids for gifts , for school , Pencils Oil Sticks Pastel Pens Gel colors Colored Crayons",2546664617,"[22393, 22430, 22744]",54% Off,5.0,299,139,47 sold,305
114,Aluminum Triangular Scale - Metric,2787687461,"[22393, 22430, 22744]",,5.0,,180,140 sold,305
115,Best Seller SUPER MEGA ART SET 168 PCS | Super Mega Art Set | Super Mega Arts Coloring Set | Super Mega Art Coloring | 168 Pcs Coloring Set | Coloring Set  | Super Mega Art Set For Kids | 168 pcs Coloring Art Set | 168 Pieces Super Mega Art Set,3444177208,"[22393, 22430, 22744]",60% Off,5.0,700,279,,305
116,Notebook LOL girl DIY drawing book（scratch，coloring and sketch),309138163,"[22393, 22430, 22744]",72% Off,4.981132075471698,300,85,324 sold,305
117,A4 LED Artist Thin Art Stencil Drawing Board Light Box Tracing Table Pad Board,4199419175,"[22393, 22430, 22744]",76% Off,5.0,1099,261.62,6 sold,305
118,Micron Detail Drawing Pen Hook Line Sketch Pen Set Comic Design Drawing Pen,4202999972,"[22393, 22430, 22744]",36% Off,0,210,134,,305
119,Screen Art Mat Restick Formula,3692948286,"[22393, 22430, 22744]",,5.0,,100,31 sold,305
120,Protree 9Pcs/Set Cartoon Scratch Art Magic Painting Paper Card Creative Double Sides Colorful Drawing Toys,4069698766,"[22393, 22430, 22744]",45% Off,5.0,150,83.21,24 sold,305
121,Rolling Ruler 30cm,2373697136,"[22393, 22430, 22744]",,3.8,,225,19 sold,305
122,【panulat na panulat】 Faber-Castell TG1-S Technical Drawing Pen (Best Price),3852680124,"[22393, 22430, 22744]",30% Off,0,1109,776,,305
123,Keep Working Drawing Shading Art 12pcs Pencils Professional Drawing Sketch Set of 2H-8B Artist Pencil,1657310811,"[22393, 22430, 22744]",51% Off,4.96,120,59,194 sold,305
124,[RF NOTES] A4&8k Coil Sketch book kraft paper Sketchbook for art students Blank page school supplies,3983773324,"[22393, 22430, 22744]",61% Off,5.0,140,54,16 sold,305
125,Painting Markers Manga Sketching Markers Art School Supplies Permanent Marker 12/24/30/36/48/60/80 Colors,3640896937,"[22393, 22430, 22744]",32% Off,4.9523809523809526,160,109,169 sold,305
126,27Stationery 018-12 oil pastel school Supplies,4211215063,"[22393, 22430, 22744]",59% Off,0,69,28,,305
127,"Circular,Ellipse and Flowchart Template",2716571269,"[22393, 22430, 22744]",3% Off,0,150,146,,305
128,Professional Sketch Paper Eraser Pens Blending Stump,3921703596,"[22393, 22430, 22744]",33% Off,5.0,44,29.55,9 sold,305
129,Portable Kids Little Artist Coloring Toys Watercolor Papers Painting Supplies Graffiti Picture Book Pocket Drawing Book Blank Doodle Book Set Coloring Books With Paint and Brush watercolor brush,4026674968,"[22393, 22430, 22744]",52% Off,5.0,159,77,68 sold,305
130,commission drawing / personalized drawing / charcoal drawing,3314568846,"[22393, 22430, 22744]",,5.0,,299,62 sold,305
131,Canson™ Sketch Pad 12x18 90gsm,2310620405,"[22393, 22430, 22744]",,5.0,,270,94 sold,305
132,19”x24” PORTABLE DRAFTING BOARD | PRECISION WOODWORKS | DRAWING BOARD,3628280897,"[22393, 22430, 22744]",,5.0,,3020,6 sold,305
133,Ekana 12pcs Pocket Watercolor Painting Book Picture Books Drawing Toys Watercolor Painting Bookmark Art Color Filling Paper,3962991492,"[22393, 22430, 22744]",69% Off,5.0,109,34,76 sold,305
134,Accurate by COKAI Furniture Template 1:100 KJ008,2389206477,"[22393, 22430, 22744]",,4.909090909090909,,85,112 sold,305
135,Dual Head Water Pen Coloering Brush Art Supplies Suit For Stedunt Washable,3992530154,"[22393, 22430, 22744]",36% Off,0,259,165.45,,305
136,compatible cutting mat cricuit mat 12”*12”,2618398108,"[22393, 22430, 22744]",46% Off,0,250,136,5 sold,305
137,Lion City Dermatograph Pencil (per piece),3543381032,"[22393, 22430, 22744]",15% Off,4.963503649635037,13,11,"4,802 sold",305
138,Universal Compass Adaptor Ø3.5mm,2840655345,"[22393, 22430, 22744]",,5.0,,90,24 sold,305
139,Drawing Tube Blueprint Case Telescoping Art Tube Large HT-903 (45cm to 70cm Lenght) (7cm Diameter Round),2580878807,"[22393, 22430, 22744]",,5.0,,199,17 sold,305
140,A4 Van Gogh Spiral Sketchbook Big Thick Drawing Notebook College Sketch Pad Art School Supplies,3016115261,"[22393, 22430, 22744]",40% Off,4.993589743589744,164,98,617 sold,305
141,48/72/120/150/200 Colors OBOS Professional Color Lead Oil Color Set Colored Pencils Art Supplies,3848655678,"[22393, 22430, 22744]",67% Off,5.0,800,264.33,8 sold,305
142,【Buy1 take1】Multifunctional Drawing Ruler Geometric Function Drawing Board A3 Drafting Tables with Parallel Motion Angle Measuring System Measuring Ruler Angle Circle Maker Drawing Measuring,3800858735,"[22393, 22430, 22744]",66% Off,0,1999,688.51,12 sold,305
143,"Crayola Crayons Set of 8, 16 or 24 colors",2357637568,"[22393, 22430, 22744]",55% Off,4.929961089494164,39,17.37,"9,999+ sold",305
144,Hot PANTOGRAPH ORIGINAL DRAWING INSTRUMENT by EGBL ARTS,4091978718,"[22393, 22430, 22744]",41% Off,0,1126,661.8,,305
145,Notebook unicorn DIY drawing book（scratch，coloring and sketch,299104680,"[22393, 22430, 22744]",58% Off,4.849056603773585,200,85,270 sold,305
146,7Pack Professional Drawing Compass Kit Circle Drawing Tool with Extension Bar  for Geometry Drafting Math,3193564102,"[22393, 22430, 22744]",50% Off,5.0,579,289,58 sold,305
147,Kuelox Lead Holder (Clutch Pencil) 2.0 + 1 tube HB lead 2mm,2102208293,"[22393, 22430, 22744]",,5.0,,425,15 sold,305
148,Colored Marker Pens Set Manga Brush Pen Drawing Sketch Art Supplies Stationery Double Tip Markers School Supplies,4225736771,"[22393, 22430, 22744]",77% Off,5.0,599,138,,305
149,Berkeley Mat Board 10 x 16 cream/white,1545584789,"[22393, 22430, 22744]",,4.0,,55,16 sold,305
150,Hii chalk quality drawing & writing chalk Dustless 100pcs,3491712320,"[22393, 22430, 22744]",54% Off,4.333333333333333,65,30,322 sold,305
151,PanPastel Soft Pastel 9ml Pans (Blues and Greens),3538580687,"[22393, 22430, 22744]",,0,,382,,305
152,FancyArtsy Artist Brush Set Painting Brushes Premium Quality Color Brush Painting Brush,3363321340,"[22393, 22430, 22744]",2% Off,5.0,50,48.95,8 sold,305
153,Advance Sketch pad 25lvs,3351768316,"[22393, 22430, 22744]",,0,,169.5,,305
154,8 piece set bingo dot markers,3598187134,"[22393, 22430, 22744]",27% Off,5.0,120,88,8 sold,305
155,"Prina 50 Pack Drawing Set Sketch Kit, Sketching Supplies with 3-Color Sketchbook, Graphite, and Charcoal Pencils, Pro Art Drawing Kit for Artists Adults Teens Beginner Kid, Ideal for Shading, Blending",3329955300,"[22393, 22430, 22744]",2% Off,0,4430,4336,,305
156,DIY Drawing Book and scratch graffiti magic note sketch black cardboard books,585640410,"[22393, 22430, 22744]",67% Off,5.0,66,21.8,695 sold,305
157,hw‘s ’Notebook unicorn DIY drawing book（scratch，coloring and sketch,371330630,"[22393, 22430, 22744]",58% Off,5.0,200,85,91 sold,305
158,A4 Thick sketchbook hard case art sketchbook Graffiti painting loose leaf removable drawing book,3940710049,"[22393, 22430, 22744]",32% Off,5.0,188,128,96 sold,305
159,8 In 1 Multi-color Crayon Rotating Pressing Kids Graffiti Crayon Children Drawing Pen Kids Art Class Non-dirty Hand Coloring Crayons Kids Fun Art Graffiti Set,4194054944,"[22393, 22430, 22744]",50% Off,5.0,159,79,15 sold,305
160,Drafting Table (Manual Lift - Heavy Duty - Unassembled),3151444171,"[22393, 22430, 22744]",,0,,10300,,305
161,Drawing Tube Engineer Expandable Plastic Tube Case High Quality Durable plastic 60cm-105cm,2580697707,"[22393, 22430, 22744]",5% Off,5.0,340,323,,305
162,Lead pointer Sand paper pointer,1613450352,"[22393, 22430, 22744]",,4.928571428571429,,51,193 sold,305
163,Kid Art* Oil-Pastel Non-Toxic Oil Soft Pastel Children's Galley Drawing Crayons Set Kids 12/18/24 Colors,1541304036,"[22393, 22430, 22744]",57% Off,5.0,103.5,44.05,69 sold,305
